x3,y3,x4,y4,x5,y5,x6,y6,Digit
79,90,100,100,86,74,70,49,1
68,82,100,100,77,75,57,51,1
72,76,56,60,39,45,22,30,1
70,83,70,67,70,50,80,33,1
74,100,100,93,97,69,97,46,1
89,79,78,63,56,47,33,31,1
100,100,75,71,56,42,35,13,1
66,90,100,100,80,74,59,48,1
92,83,100,100,73,76,49,50,1
76,74,100,100,92,87,82,58,1
50,100,50,62,52,23,4,2,1
66,86,100,100,94,77,79,52,1
70,77,100,100,95,78,84,51,1
100,100,88,69,73,38,56,7,1
87,100,100,92,86,69,76,46,1
58,76,54,31,78,0,100,6,1
100,100,95,92,80,69,73,46,1
65,82,95,100,100,92,80,62,1
100,100,75,79,50,59,25,39,1
71,91,100,100,82,74,68,48,1
65,84,100,100,83,75,62,50,1
78,70,100,100,88,86,66,56,1
55,100,40,67,58,14,0,1,1
42,82,90,100,100,80,80,54,1
77,76,100,100,83,73,73,47,1
100,100,87,86,58,65,39,44,1
73,99,56,63,50,26,21,0,1
68,100,51,85,53,59,58,33,1
65,87,100,100,87,75,75,51,1
62,100,72,86,77,65,79,43,1
100,100,81,73,77,45,74,17,1
18,87,12,97,36,44,16,0,1
37,72,38,38,28,5,0,0,1
48,78,41,36,21,0,0,3,1
61,85,95,100,100,91,82,61,1
100,100,91,84,65,62,47,40,1
42,100,43,58,55,17,0,0,1
84,100,100,88,89,66,79,44,1
75,76,61,35,47,0,0,8,1
64,100,85,99,85,74,89,49,1
78,74,71,36,48,0,27,16,7
100,91,69,61,33,30,1,0,7
96,100,84,54,65,9,44,0,7
64,95,100,87,77,63,58,36,7
100,86,75,43,50,0,11,15,7
100,77,83,44,58,13,44,0,7
100,82,88,50,79,19,66,0,7
100,74,63,37,26,0,15,12,7
100,99,88,65,61,33,34,0,7
100,93,74,55,38,20,0,0,7
93,79,81,42,60,7,36,0,7
100,93,63,64,36,33,14,0,7
90,74,81,36,51,0,36,1,7
59,64,45,15,27,0,20,38,7
74,75,57,37,35,0,25,24,7
100,69,82,34,51,0,15,22,7
100,79,60,40,25,0,8,1,7
100,99,70,53,29,12,0,0,7
78,97,54,47,23,0,17,5,7
79,64,51,31,15,0,0,30,7
75,99,100,83,82,61,56,39,7
100,86,90,49,66,15,49,0,7
50,97,100,100,67,81,43,56,7
87,82,62,40,31,0,0,14,7
85,90,63,46,48,0,27,18,7
64,58,37,21,15,0,0,41,7
88,63,86,23,85,0,100,30,7
100,91,63,62,29,31,0,0,7
95,80,83,40,56,0,35,9,7
37,48,21,9,0,0,3,40,7
85,68,65,34,40,0,4,16,7
74,82,65,41,57,0,42,11,7
100,93,76,60,51,27,31,0,7
90,67,67,34,49,0,0,26,7
91,76,65,37,30,0,0,11,7
66,75,46,38,43,0,22,19,7
100,85,90,57,73,29,73,0,7
63,76,53,38,54,0,40,4,7
70,100,100,99,60,78,33,52,7
78,69,58,34,56,0,38,28,7
